"","X","Y","NE_ID","LONGITUDE","LATITUDE","geometry","lon_diff","lat_diff"
"5179",104.8880753,25.092364,1159146881,104.890021,25.090418,c(104.888075258556, 25.0923639687558),1,1
"5180",105.9280635,26.2523448,1159146883,105.930009,26.250399,c(105.92806345843, 26.2523448444115),1,1
"5181",106.9180805,27.7019721,1159146885,106.920026,27.700026,c(106.918080548278, 27.7019721230631),1,1
"5183",116.7480749,33.9523141,1159146889,116.750021,33.950368,c(116.748074851702, 33.9523141234137),1,1
"5184",118.3680277,31.3523695,1159146893,118.369974,31.350424,c(118.368027651188, 31.3523694619449),1,1
"5185",116.4780655,31.7522934,1159146895,116.480011,31.750348,c(116.478065492978, 31.7522933714519),1,1
"5186",117.3280911,32.9519359,1159146897,117.330037,32.94999,c(117.328091127747, 32.9519359088914),1,1
"5188",113.1180639,23.0319988,1159146901,113.12001,23.030053,c(113.11806386536, 23.0319987750627),1,1
"5195",-73.1278289,7.1320391,1159146917,-73.125883,7.130093,c(-73.1278288762705, 7.13203905820228),1,1
"5226",111.5180582,36.0822875,1159146987,111.520004,36.080342,c(111.518058168739, 36.082287471404),1,1
"5227",112.7280618,37.6823448,1159146989,112.730008,37.680399,c(112.728061830853, 37.6823448444573),1,1
"5228",113.2980529,40.0819658,1159146991,113.299999,40.08002,c(113.298052879032, 40.0819658161465),1,1
"5229",113.1580614,30.6519988,1159146993,113.160007,30.650053,c(113.158061423954, 30.6519987750931),1,1
"5230",111.2780728,30.7019182,1159146995,111.280019,30.699972,c(111.278072817175, 30.7019182086871),1,1
"5231",113.438096,30.3723518,1159146997,113.440042,30.370406,c(113.438096010543, 30.3723517617456),1,1
"5234",113.1480879,27.8319384,1159147005,113.150034,27.829992,c(113.148087872522, 27.8319383502771),1,1
"5235",111.6180521,26.2323202,1159147007,111.619998,26.230374,c(111.618052065224, 26.2323202268983),1,1
"5236",112.3280862,28.6023564,1159147009,112.330032,28.600411,c(112.328086244914, 28.6023564411006),1,1
"5237",111.6781001,29.0319426,1159147011,111.680046,29.029997,c(111.678100079547, 29.0319426227428),1,1
"5239",103.7314017,29.5690416,1159147015,103.733348,29.567096,c(103.731401674567, 29.5690416217686),1,1
"5243",105.3780712,28.8819259,1159147025,105.380017,28.87998,c(105.378071189548, 28.8819259397996),1,1
"5244",104.5680948,28.7719327,1159147027,104.570041,28.769987,c(104.568094789805, 28.7719326536665),1,1
"5245",103.7180692,27.3223312,1159147029,103.720015,27.320385,c(103.718069155036, 27.322331213231),1,1
"5249",119.6180805,39.9323109,1159147039,119.620026,39.930365,c(119.618080548329, 39.9323108682291),1,1
"5250",116.6780533,39.5223101,1159147041,116.679999,39.520364,c(116.678053285947, 39.5223100544255),1,1
"5251",114.9280309,40.8319459,1159147043,114.929977,40.83,c(114.928030906383, 40.8319458779985),1,1
"5252",118.1924311,39.626283,1159147045,118.194377,39.624337,c(118.19243113426, 39.6262830361969),1,1
"5253",114.3480663,36.0819257,1159147047,114.350012,36.07998,c(114.348066306771, 36.081925736378),1,1
"5254",113.2180578,35.2519506,1159147049,113.220004,35.250005,c(113.218057761845, 35.2519505573381),1,1
"5255",114.3480663,34.8519491,1159147051,114.350012,34.850003,c(114.348066306771, 34.8519491331828),1,1
"5256",115.6480903,34.4523611,1159147055,115.650036,34.450415,c(115.648090313938, 34.4523611204859),1,1
"5257",113.2980529,33.7323534,1159147057,113.299999,33.730408,c(113.298052879032, 33.7323533893632),1,1
"5258",114.0680317,32.1323219,1159147059,114.069978,32.130376,c(114.068031720182, 32.1323218545261),1,1
"5259",113.8680439,35.3223855,1159147061,113.86999,35.32044,c(113.868043927212, 35.3223855345518),1,1
"5260",112.4681294,34.6819337,1159147063,112.470075,34.679988,c(112.468129376425, 34.6819336709426),1,1
"5261",123.17807,41.2819443,1159147065,123.180016,41.279998,c(123.178069968916, 41.2819442503961),1,1
"5262",124.3916393,40.1455537,1159147067,124.393585,40.143608,c(124.391639304858, 40.1455536660817),1,1
"5263",122.2780732,40.6722915,1159147069,122.280019,40.670346,c(122.278073224121, 40.6722915404326),1,1
"5264",121.0980936,41.1223158,1159147073,121.100039,41.12037,c(121.098093569168, 41.1223157510464),1,1
"5265",121.6580594,42.0124165,1159147075,121.660005,42.010471,c(121.658059389483, 42.012416459058),1,1
"5266",123.748061,41.3323288,1159147077,123.750007,41.330383,c(123.748061017095, 41.3323287718806),1,1
"5267",123.8680537,41.8673349,1159147079,123.87,41.865389,c(123.868053692877, 41.8673348753983),1,1
"5268",116.5480871,35.4023548,1159147081,116.550033,35.400409,c(116.548087058733, 35.4023548135237),1,1
"5269",119.098164,36.7223518,1159147083,119.10011,36.720406,c(119.09816396304, 36.7223517617711),1,1
"5270",117.1181298,36.2019443,1159147085,117.120076,36.199998,c(117.118129783345, 36.2019442503759),1,1
"5271",115.4481025,35.2319259,1159147087,115.450048,35.22998,c(115.448102520968, 35.2319259398251),1,1
"5273",114.9280309,27.801966,1159147093,114.929977,27.80002,c(114.928030906383, 27.8019660195478),1,1
"5276",119.9680333,31.7819298,1159147099,119.969979,31.779984,c(119.968033347809, 31.7819298053712),1,1
"5277",119.4280663,32.2219288,1159147101,119.430012,32.219983,c(119.428066306791, 32.2219287881205),1,1
"5278",120.8230716,32.032328,1159147103,120.825017,32.030382,c(120.823071596511, 32.0323279580415),1,1
"5279",120.7480374,30.7723532,1159147105,120.749983,30.770407,c(120.748037416823, 30.7723531859009),1,1
"5280",120.0980513,30.8723212,1159147109,120.099997,30.870375,c(120.098051251456, 30.8723212441696),1,1
"5281",120.5681001,30.0023227,1159147111,120.570046,30.000377,c(120.568100079582, 30.0023226683199),1,1
"5297",128.8980309,47.7018883,1159147147,128.899977,47.699942,c(128.898030906439, 47.7018883015284),1,1
"5301",129.5880663,44.5769628,1159147155,129.590012,44.575017,c(129.588066306832, 44.5769627644066),1,1
"5306",139.602021,35.4306562,1159147167,139.580048,35.320026,c(139.60202098994, 35.4306561527089),2,2
"5320",73.12805,19.351965,1159147199,73.129996,19.350019,c(73.1280500305645, 19.3519650022615),1,1
"5330",7.2630781,43.7169636,1159147221,7.265024,43.715018,c(7.2630781064729, 43.7169635782053),1,1
"5331",1.4479809,43.6219048,1159147223,1.449927,43.619959,c(1.44798085710062, 43.6219047810043),1,1
"5333",3.0780622,50.651915,1159147227,3.080008,50.649969,c(3.07806223731552, 50.6519149535586),1,1
